Date,Open,High,Low,Close,Adj Close,Volume
05-10-2020,2244,2249.149902,2206,2212.199951,2205.106201,8732869
06-10-2020,2225.25,2233.899902,2201.649902,2210.350098,2203.262451,8497216
07-10-2020,2235,2309,2220,2257.5,2250.260986,24538346
08-10-2020,2259,2268,2222.100098,2239.25,2232.06958,9727405
09-10-2020,2235,2253,2217.100098,2233.449951,2226.288086,8558745
12-10-2020,2235,2255.75,2226.25,2237.050049,2229.876709,6565515
13-10-2020,2230.600098,2285.75,2225.850098,2280.699951,2273.386719,10666190
14-10-2020,2278.899902,2304,2268.5,2287.5,2280.164795,12341434
15-10-2020,2290,2290,2195,2206.5,2199.424561,9246702
16-10-2020,2215,2232.5,2172.649902,2175.800049,2168.822998,9960828
19-10-2020,2190.050049,2228.699951,2155.149902,2176.199951,2169.22168,14398973
20-10-2020,2179,2193,2152.25,2155.899902,2148.986816,8529573
21-10-2020,2168,2192,2097.75,2124.600098,2117.787354,15728986
22-10-2020,2127.399902,2132.5,2091,2106.949951,2100.193848,14215215
23-10-2020,2106,2135,2096.399902,2113.050049,2106.274414,10809307
26-10-2020,2101.949951,2101.949951,2018.5,2029.099976,2022.593384,17225212
27-10-2020,2034.900024,2059.850098,2005,2034.5,2027.976196,16835005
28-10-2020,2041.800049,2057.699951,2007.400024,2011.449951,2005,13809929
29-10-2020,1997,2042,1991,2026.900024,2020.400513,14147418
30-10-2020,2033.5,2065.100098,2021.800049,2054.5,2047.911987,15700946
02-11-2020,2027,2027,1859.150024,1877.449951,1871.429688,45857806
03-11-2020,1890,1909,1835.099976,1850.400024,1844.466553,40931170
04-11-2020,1837,1929,1837,1913.199951,1907.065063,37003111
05-11-2020,1954.949951,1960.949951,1932,1955,1948.731079,17170274
06-11-2020,1990,2040,1978.150024,2029.150024,2022.643311,30770080
09-11-2020,2062.100098,2069,2036,2050.699951,2044.124146,16539467
10-11-2020,2077,2090,2041.199951,2084.550049,2077.865723,17045147
11-11-2020,2089,2095,1978.099976,1997.199951,1990.795654,26178477
12-11-2020,1981,2008.449951,1965,1980,1973.650879,18481466
13-11-2020,1982,2036.650024,1981.75,1996.400024,1989.998291,20946864
17-11-2020,2085,2085,1985,1993.25,1986.858398,21479385
18-11-2020,1993.25,2006.5,1960.099976,1987.199951,1980.827759,14030652
19-11-2020,1987.199951,2010.449951,1968.199951,1973.150024,1966.822876,12828008
20-11-2020,1975,1983.800049,1895,1899.5,1893.409058,26522972
23-11-2020,1951,1970,1926.25,1950.699951,1944.444824,20918665
24-11-2020,1964,1974,1932,1964.050049,1957.752075,14277083
25-11-2020,1980,1992.949951,1942.199951,1947.800049,1941.554199,15062376
26-11-2020,1953.050049,1965,1930.050049,1952.599976,1946.338745,11924527
27-11-2020,1940.5,1956.099976,1921.400024,1929.800049,1923.611938,21845931
01-12-2020,1940.349976,1966.25,1930.050049,1954.900024,1948.63147,9114939
02-12-2020,1958.5,1962,1935,1958.150024,1951.870972,10240168
03-12-2020,1972,1981.099976,1958.650024,1964.050049,1957.752075,12822945
04-12-2020,1969,1969,1940,1946.75,1940.507568,8521388
07-12-2020,1940.599976,1965,1940.599976,1958.199951,1951.920776,8418767
08-12-2020,1961.150024,2014.25,1950,1993.75,1987.356812,20030506
09-12-2020,2009.949951,2033.800049,1999.25,2026.949951,2020.450317,13464375
10-12-2020,2021.599976,2028.5,2001,2007,2000.564331,7414229
11-12-2020,2013,2038,1974.25,2005.800049,1999.368286,12434745
14-12-2020,2007.949951,2015,1986.349976,1991.300049,1984.914673,7989830
15-12-2020,1989.699951,1989.699951,1961.099976,1974.349976,1968.019043,8561406
16-12-2020,1988,1994.949951,1965.699951,1976.550049,1970.212036,8565904
17-12-2020,1984.5,2005,1977.150024,1985.599976,1979.23291,9346460
18-12-2020,1980.099976,2004.900024,1965,1991.550049,1985.16394,8522215
21-12-2020,2010,2022,1855.25,1939.699951,1933.480103,20368545
22-12-2020,1949,1958.900024,1888.449951,1936.699951,1930.489746,12986606
23-12-2020,1930,1951.449951,1920.650024,1943.849976,1937.616821,8999898
24-12-2020,1947,1998.800049,1945.900024,1994.150024,1987.755615,9588577
